cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
Ugw4vXbrPM4yUBT23vl4AaABAg,So we somehow not gonna talk about Harry Potter....,1 year ago,JayRivss,UCeZHYgUOZcLsTQhDtugTv1w,0,https://yt3.ggpht.com/ytc/AMLnZu-cascr9V4C3JK2MfABXMe7CgajXmQWgR-5TEc__-mkJGy6oTptChAMcfvdYTj3=s176-c-k-c0x00ffffff-no-rj,False,False,1639410202.339536
Ugx3f5JWGjEZTdIZWhN4AaABAg,"If The Dark Knight is on this list, then i'm fine.
Edit: Okay at least that was there, but aside from that...WHAT THE FUCK?!",1 year ago (edited),Shadow Strike,UCXLDr7sf2UTmvVYEC6KWyxw,0,https://yt3.ggpht.com/ytc/AMLnZu-fhBGzJ9R5rVAbKSs8UAR7-wjKqn3tPKsfztOk=s176-c-k-c0x00ffffff-no-rj,False,False,1639410202.340505
UgwhhFeMuyizXWa_4Yp4AaABAg,Thank God for no marvel movie,1 year ago (edited),Sultana Parvin,UCAHGHMa1vwAZHpaFxrxpqhg,0,https://yt3.ggpht.com/ytc/AMLnZu_CLXqN7kiMHzhIUdIkh8NVdyU0zPYWil_NVQ=s176-c-k-c0x00ffffff-no-rj,False,False,1639410202.341506
UgwFoz6Z24sHRB0h5bR4AaABAg,Herediatary . Seriously???,1 year ago,Yash Pratap Singh,UCGJDOGGXMdbRdmM-TsSpMqg,0,https://yt3.ggpht.com/ytc/AMLnZu-k17p_-a6nY-WZ5v4lDa0PdD1eGt_Nls4N4_qd=s176-c-k-c0x00ffffff-no-rj,False,False,1639410202.342505
UgxRQcTxQdkjN48N3RN4AaABAg,Moonlight in sixth place among the best films of the century??????? Seriously?,1 year ago,Ryan Gosling,UChN2dILPcJOH2gHgykKIDPA,1,https://yt3.ggpht.com/EelDoj_6-mqz9alaoepYKantOVxkCKCv5zPzJimlALtYw9FpE8C7Lfu52CvHL50PwVb6g4az=s176-c-k-c0x00ffffff-no-rj,False,False,1639410202.343537
UgybeC1urPPhK9gypFV4AaABAg,So happy to see City of God (Cidade de Deus) here. I'm proud of having brazilian culture and art acknowledged,1 year ago,lawane Castro,UCYkPwV4RcbxQLKl31Yr85CQ,4,https://yt3.ggpht.com/OvOv4cH1L4n3yGxg_d9uJ2Xrq1wOV7vYQOnByM0MnmS9y9C8hySri7nuJmaCjZPLGylHvwvMdg=s176-c-k-c0x00ffffff-no-rj,False,False,1639410202.344504
Ugxo8X1zfEACPgZiNbJ4AaABAg,Idk if it deserves one but the social network is my favorite movie so🤷‍♂️,1 year ago,Connor Ryan,UCfW-E1iOQsiOgTT5ZDnGNPw,1,https://yt3.ggpht.com/ytc/AMLnZu-EZ13-VunTCHEKiLWH1v1tz_RGgnGMEtVSBeaT=s176-c-k-c0x00ffffff-no-rj,False,False,1639410202.345537
Ugysf8b_IYK-xJrqxrh4AaABAg,Fight Club?,1 year ago,manish kumar,UC-g_69f_psYP1ejNI1CKmPg,0,https://yt3.ggpht.com/ytc/AMLnZu-re56w2GP5AGDHshxmpuNhzaj_DCuIgyLA-O1RFA=s176-c-k-c0x00ffffff-no-rj,False,False,1639410202.347041
UgzTam2wxTyzheT3JQt4AaABAg,"Thoughts on this list 
#20. Too much swearing in this movie.
#19. This is on my list!
#18. Haven’t seen this.
#17. Haven’t seen this.
#16. Haven’t seen this but have been meaning to.
#15. Haven’t seen this.
#14. I haven’t seen this.
#13. Haven’t seen it.
#12. Haven’t seen it.
#11. Haven’t seen this in awhile. 
#10. Haven’t seen it.
#9,  I do not like horror movies.
#8.  Haven’t seen it.
#7. Haven’t seen it.
#6. This is on my list!
#5.  I personally prefer Harry Potter over both LOTR & Twilight .
#4. Never got into this franchise.
#3. Haven’t seen it.
#2.  RIP Heath Ledger, he is deeply missed.  I loved this movie.
 Honorable Mentions
#1. I love Anchorman! It should be ranked higher.
Haven’t seen any of the others.
1. Not one of my favorite movies.",1 year ago,Janine Leffler,UC0EKm6gNoM_3Y0r6LyDFyYA,1,https://yt3.ggpht.com/ytc/AMLnZu8N68JvviwGRU8zYqPm_HNyVizhHY4jvj_15bz-=s176-c-k-c0x00ffffff-no-rj,False,False,1639410202.347542
Ugyl-R6Jns49HWKtmf54AaABAg,I stopped watchimg As Soon as I Saw No Country for Old Men at #10,1 year ago,Glory Compass,UCzzhOWdJI-CCyoz_g5iWKXg,0,https://yt3.ggpht.com/ytc/AMLnZu9Fl1JhV7y92XiUnR5lVXYf6-j1O5wt4YyQZQNFZg=s176-c-k-c0x00ffffff-no-rj,False,False,1639410202.348523
