cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgxZgtL84x3sYSNXrfF4AaABAg,good selections...,1 month ago,@MaBelleone1,UC1CNmJ6xLB1TPj0J0esTLwQ,0,https://yt3.ggpht.com/ytc/AMLnZu_ZJfKCb8d9BXquWiTcIQtuZSyAP_8zCC_9VhpY=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.157866
UgyYSSDfDuKjhdCHwzV4AaABAg,UPGRADE should be here,1 month ago,@skiptomylou6492,UCrduqwT-elqB7SX5ISwfuJQ,0,https://yt3.ggpht.com/iyj9SFG8WcExEXYjDEsjFZY1fqC2vM-QJDK1S77tu8YnlZk_O6AwV0SMzOnAc72nYmOH7DSs=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.159866
UgyZ38QVgBX_zgc6H0h4AaABAg,"One MAJOR MOVIE You totally MISSED was the BEST Adaptation of Jules Vern's CLASSIC ""20,000 Leagues Under the Sea"" by Walt Disney!

NO OTHER version of the story has even come CLOSE!  The Actors AND the Submarine ""NAUTILUS"" are ALL ICONIC! 
AND it was the ""GONE WITH THE WIND"" AND ""STAR WARS"" Of its time!

SHAME ON YOU for missing that!  
You ALSO forgot George Pal's ""THE TIME MACHINE""!  ANOTHER ALL TIME GREAT CLASSIC!

But the VERY FIRST ""SCI-FI STORY"" of all time is ""FRANKENSTEIN""!  And you missed THAT ONE TOO!

Yes it's Horror but it is REALLY a SCI-FI STORY at it's heart!",1 month ago,@j.s.connolly8579,UCvK-OqBa_6l5b5S4p2lzd6g,0,https://yt3.ggpht.com/ytc/AMLnZu91x9xkczInlUzNSZZsFAIJiat4M-uBryXvvKuCRw=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.160866
UgxKNoRf6xYopyqtE0V4AaABAg,"Listen, I can imagine that back in 1968 that 2001: A Space Odyssey was a mind-blowing, amazing, fantastic movie. There have been way more movies that have pushed the envelope and made us think way more constructively since this movie. This movie had over 40 minutes of SILENCE IN IT! The first words of dialogue aren't even spoken until 21 minutes in! I understand that dialogue isn't necessary for a movie to be great, but this movie is too slow of a burn and has entirely too many of these types of scenes in it. I have been hyped up about this my entire life and I watched it in 2021 and it was  tremendous letdown. Sorry, but 2001: A Space Odyssey is the most overrated, overhyped, over bloated science fiction movie I've seen so far.",1 month ago,@jsincere85,UCjGBAE5V909MwOq4s7vNGSg,0,https://yt3.ggpht.com/pSqNz6kqBpB-6zmcW3ZcHd4f7IqYWK1Cc0geHdDZ_2LQXTmAdcsjFkox1x345RFph2npufoU0g8=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.161865
UgzdoUNHhblMDWGCc5h4AaABAg,"What about ""Dark City""!?",1 month ago,@MrPadlio,UCpSwvcVwqo-pAXeu427Cawg,0,https://yt3.ggpht.com/ONM82gC-Y-7mjW74R15BZo1E4rfumG7rTS4SkLakmfQxMW3QTtfVUY1fLmObZzg4WUmC2117=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.164865
UgwKPFzzwP52M_3VtVZ4AaABAg,Blade Runner at 6? nope.,1 month ago,@MajClanger,UCaKk4TPy-FIsqhXhXtt0VHQ,0,https://yt3.ggpht.com/ytc/AMLnZu9A4lk_PCJGsTDvSMNj43MO_dyTIVPpCfGb5beQ=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.165866
Ugyj1_8sgV5r_cNMF_x4AaABAg,"No 12 Monkeys, District 9 or Upgrade? Oh come on!",1 month ago,@sheppi1986,UCMy5XPqSy7ED-OjHPLh-Kcw,0,https://yt3.ggpht.com/ytc/AMLnZu9Gb6-yEYcu5TAU_mFgUPnxBBVuUl8bUOkLMS81=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.168395
UgwQVDzHbiThewo_ID14AaABAg,They're manipulating your thoughts by telling you the faults hoods of these movies such as the Star wars 1 it's not no I'm your father it's no I am your father and he has his hand gripped and everything now they change it and they want to see how they can manipulate humans it's hilarious and you guys are falling for it stop falling for it,1 month ago,@drwho4489,UCafaa0WPcOkAGM10VSZ_xpQ,0,https://yt3.ggpht.com/ytc/AMLnZu9NlsxNyFGMzGDvzIfRruVj9oqwkRqs0XBroA=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.170396
UgwGEx0Sx8DAmWyTU9N4AaABAg,"Why is Avatar on the list, when you clearly state animated films are not included? Avatar was 90% CGI cartoon characters.",1 month ago,@ThePower1963,UC4vqWpEkBrZwPDRvDcbvy3g,0,https://yt3.ggpht.com/ytc/AMLnZu9QFmoW3gtW1e3uvy4PigKaqCFR_pxwIc8CFA=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.172412
Ugw-RidcEY_fulj3AT94AaABAg,"Nine plus two honourable mentions. Damn, I was hoping for more.",1 month ago,@howlingguardian9005,UChpkEAxvpnkD_s_pESu0PKw,0,https://yt3.ggpht.com/ytc/AMLnZu8j-jvg6fyNB0pd4ANSmSRf-gs2TKF51OHV5g=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.174396
UgyjPQdVB-2PWCUUVyR4AaABAg,OMG Really? - what a dull cliche list - considering many fans list it as  the standard of Sci-Fi Movies since it came out - You didn't even include Serenity? or Equilibrium? Virtuosity? or even Dark City? I wouldn't even put that dull 2001 on my top 20. Top 100 Sci-Fi but not top 20 - and your honourable mentions should have been in the top 20,1 month ago,@MartinaDeir,UCrOloLMi_qGDOBnhxTm4zNA,0,https://yt3.ggpht.com/ytc/AMLnZu9XFcqfOXXUTja0zFqmtNi4cqS6nNLDIcqW4mC_wQ=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.176395
UgyC7VrqslDhb24RWdd4AaABAg,"Come on, Arrival would have to be here guys.",1 month ago,@divyenjoshi1168,UCB-amUi-8hR7x1b-muphEYA,1,https://yt3.ggpht.com/ytc/AMLnZu-1w9dcbfdsr2D6Cwb2wvzlDNjimZHO26qbiDeiMTQ=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.177395
UgxzxlemJBlW559opd54AaABAg,I don't know why it's not mentioned anywhere that et was a story stolen from satyajit rays book the alien. Even Kubrick confirmed it years ago but no media did justice to this claim.,1 month ago,@theliteratureguy7523,UC_XWkePMw6CH5vMdSPHmpOg,0,https://yt3.ggpht.com/ytc/AMLnZu_STP6WDwCskN4NT8wKzY37DaQSPQon43H_WQ=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.179396
Ugy4K_ZLQxl378qNS_J4AaABAg,"Well done! Tough choices, but I have seen them all and cannot fault yours.",1 month ago,@slywlf,UCWUeZdYzWqWQfb3jQdasGOQ,2,https://yt3.ggpht.com/ytc/AMLnZu_ysUfxKjLyx0zrtdyRjAMkYuGMRhfi8bVGBQ=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.180396
UgzebsC7K_e6Moov_EN4AaABAg.9hK53v7qehI9iE6cu6Zcgb,edge of tommorow????????? so many flaws in that ok if was a review of best comedy movies,1 month ago,@philiprice7875,UC9yJ_bQtQ8v0VKcGzqfuj_g,0,https://yt3.ggpht.com/ytc/AMLnZu-0MbH22AEiuE7Mb0HCNhPzELByA6gSU8Ld0Q=s176-c-k-c0x00ffffff-no-rj,False,True,1668356255.459439
UgzebsC7K_e6Moov_EN4AaABAg.9hK53v7qehI9inTsufebGG,Of those 7.. only 'District 9' is worthy!,2 weeks ago,@philip6419,UCXWhkuhUAYJUFtvrEZSuwWg,1,https://yt3.ggpht.com/ytc/AMLnZu-tJ8SqLkGjdkTD_ZZSC4jjGhxvf0TffKwJVw=s176-c-k-c0x00ffffff-no-rj,False,True,1669738655.460438
UgzebsC7K_e6Moov_EN4AaABAg.9hK53v7qehI9j75DqLP-0Z,District 9 was phenomenal,11 days ago,@myfootyourassgaming9603,UCHHbQrepYJZGYZ59b-wL2MQ,1,https://yt3.ggpht.com/ytc/AMLnZu8zR5qTKpN018iNTaf7PLQ-kbZ_k_-I-XocxQ=s176-c-k-c0x00ffffff-no-rj,False,True,1669997855.461438
UgzHbU4mSXjoPfkB_194AaABAg,the best Sci-Fi movie IS and ALWAYS will be 2001: A Space Odyssey !,1 month ago,@nicolaspimenta3927,UCnivmlFFdJ6TttWZwVBsG8Q,1,https://yt3.ggpht.com/ytc/AMLnZu98i_WOTpwQV1mxzqL0lkBV8weWx4xCm7gDULl61Q=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.912451
UgzAC2bjIsakDpZV0s54AaABAg,"I’m sorry, but Brazil was so much better than 2001, it’s not even funny.  As is Children from Man.  I would also point out Charlie (based on Flowers for Algernon) should have made the list.",1 month ago,@creigh8341,UCUXTJ1bfcwYtvH77W8dyemg,0,https://yt3.ggpht.com/ytc/AMLnZu8DmASTnjwgAuzO86zIV_NNMmWtWYPkLYnpkQ=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.914437
UgymL3el3QKovrVzLAx4AaABAg,"Gotta agree with #1.  The Matrix sucks big time.  Did they show scenes from ""Return of the Jedi"" when talking about ""The Empire Strikes Back""?",1 month ago,@jerometaperman7102,UC8sKHTcRo0SwgVDqUsiBeOw,0,https://yt3.ggpht.com/ytc/AMLnZu_MxFMOi3vtLCZ97BrRqIDSRKqORIIp0pGMd2ql=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.916453
Ugwlg6glZ6IMc8HxwsV4AaABAg,"2001: a space odyssey will always be number 1 not matter how many times mojo does this list even in a hundred years from now , just insuperable !!!",1 month ago,@alexpap5265,UCLxeo9OtfiNDscIvPoPRrGw,23,https://yt3.ggpht.com/ytc/AMLnZu-TwSYAbnBQGzBVYXDfjDi5CJGZdR6nd_OJEg=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.918437
UgzMGkhaU0KHfFH1WCV4AaABAg,I hadn't realized Doctor Strange was in Forbidden Planet.,1 month ago,@innagottadavida8538,UCIEJIj-8yGQ-NCuYMKG0MkQ,0,https://yt3.ggpht.com/ytc/AMLnZu9WQPmajF9VHiOlvRWokTTgjLUB1CTl2_0jdt66=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.919437
UgzmZ6o0fnJLhFAqU5Z4AaABAg,"Moon is a great movie

Pandorum was fun to watch.

Moon should be on the list
Pandorum should not though well not top 20",1 month ago,@jeremyr1528,UCCyw49jcovd3LWKV38qRciA,1,https://yt3.ggpht.com/ytc/AMLnZu_i_tpIsUcPt5r6VKNH2y2-xcRqyBAKO9fOBQ=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.920437
UgwUkP2BM2byxe1Y3N94AaABAg,"Great list.  Honorable mentions I would also include: Interstellar, Jurassic Park (original), and Total Recall (original).",1 month ago,@weveseenthelight5997,UC9qjCzJ2cTeIsKgjUge6a0g,13,https://yt3.ggpht.com/ytc/AMLnZu-H2PB1w64CIC7AKGuHaHgE7sdLUc2OdZXldwhFActmREMiLrn0HHUjxNGkBr7Q=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.921437
UgwEZ0uq2WYfCe9GpFl4AaABAg,crappy list from someone who was born past 2000 if not 2010 for sure,1 month ago,@jrme4216,UCpHawz6bS1MyF6F21tPeamQ,0,https://yt3.ggpht.com/ytc/AMLnZu91wTGVwTC3k6LClFC4GxgQQuod_VD5n-P2tA=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.923437
UgzmnWlgkW2nYxvvTpR4AaABAg,I believe you didn't include INTERSTELLAR because it can't be even compared to this right,1 month ago,@bamlaktadesse1562,UCu0_OIOHMrhvCMoIUh_TtKA,0,https://yt3.ggpht.com/ytc/AMLnZu_jbjN32Zjn5hjI6aXwk6IGrbXmyH8POAe4BQ=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.924438
Ugz0EJi9ywpEmPpJ0PB4AaABAg,That top 20 is just a lot of filling between the best James Cameron movie...,1 month ago,@zitronenfalte,UCN6VAMU0rM9j0St4Qcg9BBA,0,https://yt3.ggpht.com/ytc/AMLnZu96gpE-D2P27dVy3CGXKf6EnlEifwjHBbIYRA=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.926437
Ugxw1beOk9VVPLgbOMx4AaABAg,"12 Monkeys and Repo Man, personal favourites.",1 month ago,@darrenhunt9049,UCxH4jd-9aPR0kfiwDg5rRBQ,0,https://yt3.ggpht.com/ytc/AMLnZu-XN9XIcdK4aP76uzTszZ5iqYhv2rNi-uEEJZ1JLw=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.927437
UgzYVCdHPFadXprx6914AaABAg,"You put the matrix BEFORE Blade runner?? Shame on you!
A Space Odyssey was without doubt the most boring movie I've ever tried to watch. I did It but man,..just barely.",1 month ago,@sandrakleinschmit9848,UCpWI3-C_BpK1FQ3RT_xnAVg,0,https://yt3.ggpht.com/dOeRxtd1Y_XUlXtEyp6N4z2-b6P47-MJGxsTPCZMN6kxqHVC38cwT6bnOWVuYbFD8Lm8g4q-mA=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.928437
UgxAOClRubtzuEKs8aZ4AaABAg,I personally think back to the future should be higher,1 month ago,@ptpvideogaming,UCrtHvJt1sCUKOzI7C7FmoDg,0,https://yt3.ggpht.com/ytc/AMLnZu9Hn-EFHxs_3a0DchkCLiOGrymX6H62nsF2De---g=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.929437
UgxwY0p7mlurLqIotrd4AaABAg,"I tried to watch ""Matrix"" on DVD. got a third of the way through it, and said to myself "" why am i wasting my time on this trash?""
   Worthless piece of crap.",1 month ago,@keithfaulkner6319,UCC0qW-1NvfngqLX9NQmktIA,0,https://yt3.ggpht.com/ytc/AMLnZu_uPKOpkzci5NUCQTtVtcuSsPO52y_H2qz5Gg=s176-c-k-c0x00ffffff-no-rj,False,False,1668356255.931437
