cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
Ugy9peKEzssHiFemedR4AaABAg.9inaz6w63S89j8aqgi2ZQh,"Yeah, but not underrated",10 days ago,Scott Slotterbeck,UCsriorC78uk7gt5Ri92Eidw,0,https://yt3.ggpht.com/ytc/AMLnZu8u4GORW8RKoIvNTn1yDqsKMeYHt5pJhcIZXw=s176-c-k-c0x00ffffff-no-rj,False,True,1670084203.988677
Ugy9peKEzssHiFemedR4AaABAg.9inaz6w63S89j8bmekti05," @Scott Slotterbeck  the fact it's not on this list makes it underrated. Criticality acclaimed yes, very, but forgotten, yes.",10 days ago,tmr9069,UC0-fnEjsO_mqifwAzpmhbfg,0,https://yt3.ggpht.com/ytc/AMLnZu_SnEIyRHJS48eiKvTg7fuc2VLZbCVjNY9xwg=s176-c-k-c0x00ffffff-no-rj,False,True,1670084203.989676
UgzWgTh7QRbGjO6f4Zp4AaABAg.9inadYxlqem9j-_SgWGC8L,"It's an okay western movie but far from best. My top 5 i recommend are...
1. Tombstone
2. True Grit
3. The Unforgiven
4. The Outlaw Josey Wales
5. The Good, The Bad, The Ugly",2 weeks ago,Tweet Tweet Jones,UCO1msnYAPdvZpLRci2I5jeA,1,https://yt3.ggpht.com/u_4RoKIR1tCc93V9DZOQGWMDn3ANPpqUEhJlJmMzTTNazfx8wPGNytkBg5BX_r2mvFqqD7z8lg=s176-c-k-c0x00ffffff-no-rj,False,True,1669738604.332692
UgzWgTh7QRbGjO6f4Zp4AaABAg.9inadYxlqem9j8fcWhPVKc," @Tweet Tweet Jones  I've already watched unforgiven and The good,bad and ugly. Thanks for the suggestions I'll definitely add other three to my watchlist😉",10 days ago (edited),Malin Anjana,UC5J0WSpuX1fEvnwVa9SUv0g,1,https://yt3.ggpht.com/HlI20D7Kv1g5mu1qGhjapXxzEP28XjX-WkK70JVfDglr4h-N17gFods8hsKsBrVt4yfcfO4mXA=s176-c-k-c0x00ffffff-no-rj,False,True,1670084204.333675
UgzWgTh7QRbGjO6f4Zp4AaABAg.9inadYxlqem9j8yeSqbC61," @Malin Anjana  Yes sir, thank you.
What fascinated me at the end of The Jesse James movie was putting his dead corpse on ice and traveling it around the country on public display for a few months!!...I never knew that.",10 days ago (edited),Tweet Tweet Jones,UCO1msnYAPdvZpLRci2I5jeA,1,https://yt3.ggpht.com/u_4RoKIR1tCc93V9DZOQGWMDn3ANPpqUEhJlJmMzTTNazfx8wPGNytkBg5BX_r2mvFqqD7z8lg=s176-c-k-c0x00ffffff-no-rj,False,True,1670084204.334676
UgzWgTh7QRbGjO6f4Zp4AaABAg.9inadYxlqem9j9nKkvFhkQ, @Tweet Tweet Jones  ya that was interesting.,10 days ago,Malin Anjana,UC5J0WSpuX1fEvnwVa9SUv0g,1,https://yt3.ggpht.com/HlI20D7Kv1g5mu1qGhjapXxzEP28XjX-WkK70JVfDglr4h-N17gFods8hsKsBrVt4yfcfO4mXA=s176-c-k-c0x00ffffff-no-rj,False,True,1670084204.335677
Ugy5xKGTf2a_GzJU3T94AaABAg.9in_pa8oUvA9inb1gT3f8J,yes they are,2 weeks ago,JImbo,UC6cQXW-faqDvkVHQV35Djdw,0,https://yt3.ggpht.com/ytc/AMLnZu9vAGmTtWCH5N1C3YSl9oq470KfPZpvHIqqEEDFctWX2TGiSvpvslP5xi7pxQU_=s176-c-k-c0x00ffffff-no-rj,False,True,1669738604.601068
UgyxMihdU_xRJIy0o094AaABAg.9inZnHlK4Wy9j8_zPuUw94,"I did not like Punch Drunk Love.  Sandler was great, but it was just off putting for some reason.  I did absolutely LOVE LOVE LOVE Magnolia.  That must be on this list!",10 days ago,Scott Slotterbeck,UCsriorC78uk7gt5Ri92Eidw,0,https://yt3.ggpht.com/ytc/AMLnZu8u4GORW8RKoIvNTn1yDqsKMeYHt5pJhcIZXw=s176-c-k-c0x00ffffff-no-rj,False,True,1670084204.870694
UgyxMihdU_xRJIy0o094AaABAg.9inZnHlK4Wy9j8qp7kAa-O, @Scott Slotterbeck  Punch-Drunk Love is my all time favorite Adam Sandler movie.,10 days ago,Benjamin Guzman,UC4K3M_rNKaQgCvcXy7ohppQ,0,https://yt3.ggpht.com/ytc/AMLnZu9sQAqJqZf2NHFax6zUW-holSUXNCMweUi1HGzkaVVknmP9HLHMO00MyHGPSuZm=s176-c-k-c0x00ffffff-no-rj,False,True,1670084204.871692
Ugzt5aoMZIAgrOzidRx4AaABAg.9inZmroQ-ry9incK0Bi8vW,Thank you 💚🌳,2 weeks ago,Sarvik play,UCh2Y68UCmKfYB0LzJeXGkwA,4,https://yt3.ggpht.com/ytc/AMLnZu97FRf_BylvAbwpmBgk8fXBucfvCsUHIh54jw=s176-c-k-c0x00ffffff-no-rj,False,True,1669738605.177449
